UniqueCount	AmbigCount
103	3
35	0
38	0
4	29
385	0
11	0
0	2
46	0
356	344
2	0
0	1372
88	0
3213	38
64	0
28	0
14	42
1	43
24	0
35	0
62	0
5	17
229	0
44	0
0	44
223	582
4	0
51	0
549	215
213	0
187	1
11	0
0	0
0	9
18	0
0	163
4	17
4	0
6	5
126	0
48	22
84	0
2238	0
49	19
13	7
19	0
17	0
94	0
121	8
661	0
1	63
27	0
51	0
37	97
49	0
0	651
9	35
3	0
160	0
0	73
5	17
62	0
98	0
37	0
38	0
2	0
0	89
9	0
23	0
612	28
65	11
36	0
75	16
74	0
1	20
4	5
87	496
71	0
0	80
18	0
6	33
276	22
35	0
24	0
1050	55
86	99
98	40
13	7
0	90
26	0
3	0
0	40
99	0
94	0
106	2
417	0
17	0
0	0
1	50
0	113
0	9
0	31
0	219
0	5
0	929
0	363
0	98
0	1424
2	8
0	4
0	12
0	340
0	57
0	12
0	101
0	146
0	0
0	595
0	225
0	208
0	2
0	160
0	4
0	11
0	1
0	71
0	318
0	0
0	130
22	0
0	137
0	4
0	113
0	5
61	419
0	202
0	162
0	2
1	662
0	4
58	69
0	0
15	31
0	19
5	0
98	0
0	0
2	0
0	4
0	3431
0	2228
0	186
63	31
0	280
0	14
0	128
0	122
0	563
0	58
0	260
0	26
0	46
10	38
0	2
0	34
0	507
0	168
4	0
0	20
2	15149
0	1062
0	89
2	33
5	5
0	404
0	38
0	23
188	0
57	0
17	11
0	25
0	32
0	3
0	162
288	0
0	2253
0	294
0	1
0	133
0	211
52	0
0	5
0	59
0	0
0	44
0	1
0	0
1	230
0	0
81	0
1	525
0	7
27	27
0	5
0	778
23	329
0	0
0	150
6	0
0	7
0	278
0	61
0	3
0	59
0	552
72	2625
6	216
0	1611
24	79
0	147
0	337
0	2
102	1332
0	9
0	0
0	74
0	39
2	395
0	20
7	0
9	14
0	29
0	5
0	0
0	128
16	1
0	12
0	177
0	8
0	32
57	0
0	0
0	5
0	124
0	201
0	55
0	0
8	0
127	0
0	160
0	87
0	0
0	1269
0	105
0	88
0	187
0	25
0	2
6	18
0	130
0	0
0	0
0	0
0	0
0	0
1	3806
0	99
0	2680
0	7
0	15
0	171
2	96
0	2
0	198
0	0
0	387
0	508
0	0
0	19
0	91
0	218
0	0
0	129
16	17
0	0
0	1
0	243
0	1
0	10
0	81
0	122
2	0
0	1
6	0
0	122
154	0
0	51
0	22
0	3
0	95
0	316
0	228
0	413
1	30
0	23
0	112
0	0
1	518
0	1134
29	0
56	0
38	0
2	8
167	0
1	1
86	8
15	45
0	4
0	0
3	91
22	0
65	92
5	12
0	166
9	55
0	61
0	0
58	0
11	0
0	352
0	196
77	43
0	39
0	773
1	1471
0	1591
0	28
0	492
0	571
0	0
0	0
0	0
0	0
0	5
0	181
0	78
0	493
0	683
156	138
1	226
0	3592
0	270
0	184
23	0
0	1
0	0
0	3340
0	23
0	382
0	174
0	70
0	3
0	79
0	160
0	52
0	239
0	538
1	418
49	0
0	18
0	0
0	265
0	0
0	2
0	227
1	33
0	73
42	0
0	0
0	62
0	4
9	0
3	67
0	873
13	93
0	5
0	5
0	14
0	209
0	696
0	13
0	44
0	9
0	14
1	387
0	4
0	134
2	2683
0	1218
2	18
0	212
0	23
0	15
0	301
30	0
0	115
0	10
0	14
0	0
0	3
0	0
0	277
0	308
2	1246
0	0
0	56
0	44
35	0
14	10
0	54
0	454
0	345
7	11
0	17
0	318
6	1
0	0
0	4
0	0
0	122
0	3
0	137
0	66
0	2
0	390
0	0
0	26
0	337
24	0
0	57
0	5
0	73
0	147
0	0
0	0
2	0
0	152
0	569
2	0
0	2
0	73
0	170
17	85
0	13
0	75
0	5
3	5
0	264
0	5
0	155
0	148
0	8
0	4
0	0
0	8
0	8
0	60
0	130
0	12
0	225
0	0
0	0
0	126
1	0
0	93
0	3
0	111
0	0
0	1
2	165
3	92
0	14
1	48
0	51
0	42
0	88
0	2
1	574
0	16
0	0
1	0
0	92
1	241
0	0
0	110
0	2
0	49
0	0
0	0
0	86
0	0
40	0
0	0
0	0
0	0
0	213
1	4
0	179
0	73
0	3615
0	671
0	105
0	3
0	11
1	305
0	110
0	8
0	131
0	42
0	192
2	5
3	17
0	1
0	27
0	218
0	44
0	27
0	3
0	2837
0	370
0	2103
0	37
0	197
0	88
119	24
0	2
3	0
0	72
0	158
3	12
0	0
0	3
0	396
0	494
0	246
0	50
1	16
0	3
2	323
0	0
0	0
0	763
0	246
0	158
0	20
18	0
0	150
0	5504
0	125
0	58
0	393
0	297
0	171
0	87
1	14
0	129
0	86
0	269
8	0
0	239
0	0
14	88
1	9
0	0
0	243
5	0
0	2251
0	42
0	10
0	6
0	30
0	47
0	0
0	36
0	546
0	1
0	17
0	28
0	130
7	0
0	51
0	209
0	76
0	127
1	36
0	14
0	586
0	3
0	28
0	4
0	0
0	58
0	149
5	0
1	170
0	1776
0	4501
0	0
0	12
0	47
4	0
0	190
0	173
0	24
0	26
0	13
0	5
0	492
0	874
0	0
10	99
0	105
0	985
0	184
0	2
0	22
0	6
0	0
32	0
0	149
0	67
0	0
0	552
0	0
0	49
0	151
0	563
1	117
0	0
0	1
0	98
0	31
0	39
0	41
0	0
0	303
0	59
0	106
0	0
96	0
0	1057
0	39
0	78
85	0
4	56
0	6
94	0
0	0
0	44
0	100
420	6175
0	519
1	164
0	263
8	6
194	450
0	273
0	107
0	5
0	225
0	221
0	0
145	50
0	504
196	121
693	2001
0	296
1	50
27	952
0	117
0	0
7	32
168	628
0	16
155	34
0	0
0	0
0	0
1	106
0	73
0	0
0	2175
0	11
0	0
0	10
0	91
0	75
0	3
0	4
0	12
0	79
0	7
0	3
3	6723
0	477
88	0
109	0
0	634
0	84
0	50
0	222
0	10
0	7
0	64
0	0
148	0
0	212
27	61
0	67
0	143
0	4
0	0
1	1116
0	12
0	288
12	17
2	19
0	266
0	5
0	19
0	84
0	3
0	0
5	2783
0	130
0	1
0	20
0	168
0	177
21	1
