UniqueCount	AmbigCount
147	7
14	0
32	0
13	48
213	0
7	0
0	2
29	0
752	680
8	0
1	1272
189	0
2061	16
58	0
23	0
0	32
0	58
14	0
40	0
42	0
1	5
144	0
29	0
0	42
20	45
6	0
49	0
1104	469
164	0
104	0
0	0
0	0
0	13
21	0
0	153
2	21
6	0
4	1
86	0
23	11
42	0
3092	0
69	18
11	9
17	0
17	0
41	0
142	15
309	0
0	112
10	0
36	0
37	98
32	0
0	1639
4	9
1	0
88	0
0	79
4	13
88	0
81	0
27	0
81	0
0	0
0	89
5	0
18	0
559	19
48	10
37	0
34	9
73	0
0	35
3	1
60	418
54	0
0	124
13	0
20	57
119	14
25	0
3	0
631	25
13	22
190	100
0	2
2	117
14	0
3	0
0	100
30	0
100	0
243	3
90	0
17	0
0	0
0	56
0	73
0	1
0	23
0	187
0	0
0	830
0	345
0	41
1	947
1	4
0	1
1	17
0	200
0	59
0	2
0	119
0	116
2	0
0	521
0	156
3	168
0	0
0	195
0	1
0	14
0	1
0	25
0	294
0	1
0	150
17	0
0	121
0	0
0	115
0	1
6	64
0	130
0	137
0	2
0	785
0	2
14	48
0	0
3	14
0	20
4	0
57	0
0	0
4	0
0	2
0	2644
0	2277
0	106
90	48
0	191
0	14
0	102
0	102
1	406
0	35
0	133
0	13
0	46
6	15
0	0
0	30
0	526
0	133
5	0
0	9
0	1779
0	905
0	30
2	29
0	1
0	533
0	18
0	14
113	0
29	0
29	25
0	15
0	26
0	1
0	80
281	0
0	348
0	982
0	2
0	124
1	162
31	0
0	5
0	61
0	1
0	15
0	0
0	0
0	195
0	0
45	0
0	1088
0	5
7	40
0	2
0	184
6	123
0	0
1	128
0	0
0	5
0	209
0	45
0	0
0	105
0	282
27	1148
3	287
0	3543
25	42
0	43
0	388
0	2
96	1179
0	80
0	0
0	87
0	41
0	159
0	25
1	0
6	12
0	29
0	5
0	0
0	108
48	0
0	4
0	166
0	3
0	26
46	0
0	0
0	0
0	143
0	186
0	35
0	0
10	0
69	0
3	148
0	59
0	0
0	448
0	74
0	74
0	409
0	27
0	1
3	10
0	150
0	0
0	0
0	1
0	0
0	1
0	483
0	90
0	2009
0	4
0	64
0	242
2	84
0	2
0	153
0	0
0	297
0	520
0	0
0	74
0	10
0	319
0	0
0	123
2	6
0	0
0	0
0	134
0	1
0	3
0	84
0	117
6	0
0	1
0	0
0	141
122	0
1	48
0	21
0	1
0	42
0	307
0	125
0	352
0	24
0	27
0	34
0	0
1	221
0	1532
35	0
72	0
12	0
0	1
205	0
0	1
80	10
10	33
0	8
0	0
0	104
17	0
29	55
3	11
0	214
8	41
0	25
0	0
19	0
24	0
0	736
0	162
56	29
0	13
1	659
1	1134
0	1053
0	17
0	328
0	288
0	1
0	0
1	0
0	0
0	1
0	158
0	34
0	377
0	825
36	45
0	241
0	2733
0	187
0	106
3	0
0	5
0	0
0	3455
0	208
0	254
0	258
0	56
0	2
0	115
0	134
0	42
0	435
0	432
0	300
10	0
0	20
0	0
0	229
0	0
0	1
0	218
0	9
0	56
17	0
0	0
1	44
0	8
6	0
3	86
0	637
5	28
0	2
0	2
0	16
0	247
0	363
0	4
0	22
0	6
0	18
0	109
0	1
0	143
0	352
0	1287
0	21
0	195
0	15
0	11
1	248
49	1
0	166
0	1
2	25
0	0
1	3
0	0
0	58
0	220
1	448
0	0
0	63
0	47
13	0
7	4
0	74
0	361
0	190
4	7
0	9
0	143
2	0
1	0
0	1
0	0
0	102
0	1
0	159
0	35
0	0
0	248
0	0
0	20
0	246
18	0
0	63
0	5
0	51
1	138
0	0
0	0
1	0
1	77
1	1182
1	0
0	0
0	63
1	209
12	28
0	5
0	57
0	3
1	1
0	153
0	0
0	136
0	116
0	15
0	0
0	0
0	0
0	7
0	54
0	132
0	2
0	148
0	0
0	0
0	88
0	0
0	80
0	1
0	115
0	0
0	1
5	92
0	105
0	23
0	39
1	53
0	34
0	116
0	0
1	387
0	4
0	0
0	0
0	101
0	123
0	0
0	61
0	0
0	42
0	0
0	0
0	75
0	0
12	0
0	0
0	0
0	0
0	137
0	1
0	159
0	113
0	1269
0	280
0	97
0	7
0	1
0	664
0	29
0	1
0	167
0	26
0	217
0	8
1	5
0	0
0	57
0	390
0	29
0	29
0	0
3	4047
0	325
0	2700
0	32
0	68
0	75
60	17
0	0
4	1
0	31
0	195
1	5
0	1
0	1
0	111
0	338
0	123
0	26
1	11
0	22
0	160
0	0
1	0
0	827
0	542
0	195
0	12
22	0
0	128
0	762
0	118
0	38
0	520
0	163
0	171
0	46
0	6
0	124
0	45
0	181
2	0
0	125
0	0
12	84
3	3
0	0
0	319
2	0
0	348
0	7
0	3
0	4
0	23
0	30
0	0
0	15
0	364
0	1
0	5
0	36
0	150
14	0
0	39
0	106
0	26
0	87
1	25
0	17
0	488
0	0
0	28
0	4
0	0
0	83
0	264
1	0
0	169
0	262
0	591
0	0
0	2
0	41
4	0
0	152
0	99
0	5
0	39
0	11
0	4
0	396
0	639
0	1
7	165
0	127
0	692
0	105
0	1
0	15
0	4
0	1
5	0
1	211
0	22
0	0
0	396
0	0
1	14
0	84
0	405
0	129
0	0
0	0
1	95
0	22
1	24
0	15
0	0
0	347
1	109
0	121
0	0
33	0
0	1421
0	36
0	62
123	0
4	7
0	1
26	0
0	0
0	18
0	71
395	7269
0	522
0	153
0	317
1	0
99	195
0	328
0	38
0	5
0	411
0	156
0	0
142	22
0	488
170	183
324	780
0	58
10	258
49	1879
0	133
0	0
9	9
223	799
0	5
141	25
0	0
0	0
0	5
0	65
0	75
0	0
0	2853
0	2
0	0
0	11
1	64
0	30
0	1
0	2
0	2
0	85
0	6
0	1
0	2270
0	457
90	0
65	0
0	295
0	61
0	98
0	110
0	10
0	1
0	103
0	0
35	0
0	255
4	20
0	67
0	224
0	1
0	0
1	1369
0	5
0	389
11	11
1	17
0	187
0	1
0	3
0	73
0	0
0	0
0	1380
0	123
0	1
0	26
0	83
0	192
10	1
1	182
0	39
10	0
0	4
0	96
0	4
1	900
0	99
0	1
3	656
0	1
0	0
0	6
0	864
0	0
105	0
19	0
0	21
0	1264
0	193
29	0
25	0
16	86
40	0
0	87
0	11
0	0
0	1159
0	136
0	3
0	89
0	1
0	113
0	4
0	0
0	37
16	0
3	921
70	0
0	0
0	224
70	0
0	0
2	1
0	312
0	121
0	18
0	31
0	133
0	1
0	116
0	0
0	196
0	95
0	0
29	0
0	143
0	2
0	448
0	38
0	137
0	187
0	51
0	2
0	0
0	2
0	296
0	133
0	198
0	0
0	0
0	0
3	55
0	0
0	175
0	685
0	33
16	0
64	0
0	3
0	90
17	48
1	966
0	77
0	126
0	6
0	26
0	6
1	327
0	0
0	93
0	205
0	2
0	224
0	54
0	421
17	58
0	402
0	0
11	468
0	48
0	105
0	19
1	30
1	919
0	0
0	235
0	132
5	0
0	107
0	3
0	67
0	456
0	1
0	2737
0	78
84	0
0	117
0	22
13	0
0	12
0	0
0	56
77	0
10	22
0	255
0	188
0	0
0	104
0	54
0	0
0	425
0	598
0	145
0	0
0	11
0	0
0	0
0	5
0	22
0	786
0	0
0	0
0	0
0	17
0	1
225	10
0	39
0	25
0	0
0	0
0	28
0	294
0	0
0	0
4	0
0	19
0	39
0	0
0	21
0	32
0	2
49	0
0	1
2	27
0	34
0	0
0	28
0	37
1	115
0	201
24	0
0	2
0	139
0	169
0	2
1	0
0	24
7	0
0	4
0	6
0	8
0	423
0	18
0	93
6	0
129	0
0	0
0	2
254	0
0	55
1	33
0	9
0	0
0	78
0	105
0	62
0	13
0	19
1	324
17	0
0	745
1	122
0	3
0	344
0	29
0	1
0	59
0	3107
0	352
0	0
0	43
0	49
0	240
0	194
0	9
3	2
0	0
1	85
0	4
0	21
2	7
0	0
14	20
0	0
1	244
0	20
1	79
0	0
0	0
0	0
0	97
0	8
0	0
44	0
1	78
0	16
0	221
0	0
0	0
0	86
1	2
0	0
0	2
0	3
0	0
0	82
0	0
0	133
16	0
25	0
0	0
0	1425
0	28
0	264
0	112
0	77
0	0
0	389
0	782
0	31
0	106
0	2
0	553
0	150
27	29
4	59
7	5
0	0
0	5
0	581
0	10
0	0
0	2
0	134
0	1
93	0
74	0
0	38
0	158
0	326
0	0
0	244
62	0
0	2
0	181
8	0
0	0
1	189
0	126
0	44
0	10
0	0
0	124
0	1
0	0
0	2
98	0
0	307
33	0
0	0
0	38
0	288
0	0
0	14
0	504
0	983
0	18
0	0
0	329
0	167
1	56
0	37
0	2706
0	42
0	27
0	109
0	0
0	433
0	5
0	76
0	133
0	4
0	54
0	88
2	14
0	2
0	2
0	628
5	44
0	2314
20	1
8	44
0	8
0	3
0	459
0	2
0	23
0	4
0	5
0	305
0	29
0	4
0	2
5	185
148	0
0	0
0	40
0	98
0	6
0	116
0	165
95	0
0	567
11	0
0	20
0	1
0	0
0	810
1	234
109	0
0	0
0	282
0	154
0	0
0	2
0	735
8	270
7	160
49	0
0	25
0	3
2	17
0	67
0	285
0	0
24	204
0	178
75	0
1	3
0	733
2	1670
0	0
0	23
0	348
0	619
0	311
0	360
0	221
0	682
0	57
