UniqueCount	AmbigCount
586	17
23	0
79	0
19	123
518	0
14	0
2	29
54	0
3352	2545
5	0
2	5139
506	0
20741	404
139	0
49	0
4	103
0	175
34	0
85	0
53	0
12	16
353	0
66	0
0	247
139	599
21	0
196	0
1530	693
388	0
209	3
5	0
1	0
0	28
33	0
0	1334
11	43
10	0
12	21
384	0
87	52
101	0
7456	0
111	42
27	23
27	0
20	0
104	0
243	32
1369	0
1	1227
37	0
151	0
211	307
40	0
2	2984
7	184
1	0
170	0
0	210
6	139
92	0
111	1
111	0
400	0
1	1
1	177
23	1
36	0
2169	57
169	49
191	0
71	30
123	0
2	84
9	9
171	957
131	0
0	384
126	0
226	305
1098	133
90	0
10	0
12214	530
50	62
3271	807
6	7
6	604
32	0
5	0
1	799
58	0
551	0
1273	5
1190	0
55	0
0	0
1	242
0	701
0	18
0	71
0	608
0	5
0	3161
0	1653
0	95
5	5316
2	9
0	4
0	27
4	992
0	412
0	0
0	868
0	527
12	0
0	2530
0	961
0	394
0	1
4	1019
0	259
0	102
0	7
1	139
0	1918
0	0
0	1054
49	0
1	1508
0	6
0	291
0	37
32	355
0	407
0	673
0	42
0	2099
0	272
124	239
0	0
98	172
2	34
0	0
581	0
0	0
11	1
0	31
0	13539
1	10037
0	4620
2328	775
0	392
0	157
1	640
0	1718
1	1602
0	125
0	1927
0	154
0	537
40	81
0	1
0	163
0	4260
0	920
7	0
0	121
0	17838
0	2175
0	62
0	186
1	4
0	2342
0	40
0	44
373	0
121	0
89	46
0	56
0	98
0	2
1	796
766	0
0	1861
0	1433
0	7
1	1428
1	434
65	0
0	16
0	144
0	4
0	53
0	11
0	0
2	1369
2	0
131	0
0	1512
0	3
31	50
0	5
0	839
40	703
1	0
0	421
3	0
0	23
0	1427
0	877
0	1
0	567
0	1881
411	6958
17	984
0	10158
47	105
0	229
0	1766
0	21
584	4710
0	84
0	0
0	511
0	523
1	642
1	239
27	0
26	85
0	91
0	16
0	0
0	406
35	1
0	37
0	698
0	59
0	68
185	0
0	0
0	4
0	999
0	823
0	69
0	0
37	0
164	0
8	521
0	456
0	0
0	1118
0	321
0	280
0	2277
0	47
0	152
13	20
0	1052
0	0
0	0
0	13
0	0
0	5
0	2411
0	1202
1	9051
0	20
0	62
1	1357
9	735
0	0
0	291
0	0
0	2328
0	980
0	0
0	76
0	59
0	2094
0	0
0	1035
4	5
0	0
0	2
1	1368
0	1
0	2
0	291
0	290
6	0
0	5
5	0
0	1797
239	0
1	416
0	57
0	3
0	36
0	3153
0	2304
0	1366
9	181
0	82
0	246
0	0
1	1862
5	9659
37	0
226	0
33	0
0	5
345	0
1	2
116	6
18	86
0	26
0	0
0	363
178	0
132	206
12	14
0	1852
45	230
0	84
0	0
42	1
243	5
2	4917
3	1000
5118	1189
0	8
1	1577
5	8552
0	6804
0	60
0	2601
0	1936
0	4
0	0
4	0
0	3
