UniqueCount	AmbigCount
3809	167
815	0
1730	0
166	1099
10862	0
467	0
16	63
2612	0
7066	5654
106	0
9	30419
2707	0
138330	1228
2165	6
889	0
736	1053
10	1821
699	0
1387	1
1306	0
134	1053
5500	3
1222	0
0	2861
4154	8746
452	0
652	0
17082	6881
5226	0
4059	15
403	6
0	2
0	649
761	1
1	4994
164	590
175	0
191	117
3286	0
1216	371
2689	0
53314	0
1935	696
1004	550
636	0
713	0
2875	0
2840	125
16627	0
0	1784
1506	0
1257	0
978	2288
2005	0
12	17972
239	1358
134	0
4681	0
1	2281
292	969
2249	0
3610	20
1549	0
1195	0
49	107
21	3598
289	26
1143	0
21483	599
1947	459
1442	0
1568	512
2324	0
6	743
149	165
2734	14790
1814	0
0	2802
385	0
522	1284
5472	537
948	0
588	0
36069	1825
1532	2451
3586	1571
337	178
80	4254
1102	0
172	0
2	1567
2997	0
4634	0
2812	25
2276	0
558	0
0	0
46	1619
0	3069
0	261
0	908
1	8735
0	104
1	30724
0	11754
0	2419
8	32659
110	340
0	97
7	157
14	4866
0	1603
0	268
0	5228
0	6538
75	0
1	11327
0	6055
38	10192
0	40
1	5615
0	129
0	290
0	65
0	1646
0	8158
0	5
0	5718
940	0
0	2971
0	203
1	3177
0	106
1137	8748
0	4348
0	5732
0	355
4	22471
0	133
1387	1955
0	0
745	1496
35	1174
388	0
2127	0
0	0
176	18
0	188
3	99361
4	56184
0	10728
1411	922
1	5537
0	282
3	2893
2	3336
0	20323
0	1374
0	8679
1	979
0	1316
278	1044
0	40
0	1206
0	12115
0	4750
154	0
1	781
8	333674
0	34378
0	1445
39	1599
48	121
0	15418
0	880
0	424
4345	0
1544	0
1230	1633
0	832
0	1192
0	44
0	6729
6158	0
0	79848
0	18280
0	107
0	5179
67	6166
1720	0
0	132
1	1836
0	7
0	656
0	46
0	1
10	6415
29	0
2324	0
12	25761
0	100
1032	1684
0	313
1	14353
941	9236
4	0
0	4594
93	0
0	278
0	7492
0	3599
0	42
0	1110
1	10751
2535	133810
113	5612
0	31384
1178	3027
1	6436
0	7313
0	77
2292	42249
0	749
0	0
0	2556
0	1177
8	8243
0	776
199	0
233	386
0	782
0	130
0	1
0	3451
448	12
0	266
0	3824
0	265
0	972
1669	0
0	0
0	121
0	3317
0	6135
0	1813
0	0
286	0
4123	0
139	9293
0	2099
0	0
0	39516
0	1875
0	1531
0	9746
3	864
0	55
168	478
0	5717
0	0
0	0
0	85
0	0
0	113
3	92971
1	4321
1	83100
0	185
0	938
2	4109
55	3549
0	55
5	4767
0	14
3	7988
1	17346
0	0
0	1097
0	1959
0	7628
0	0
0	5928
469	236
0	0
0	84
4	6690
0	43
0	226
4	3289
0	3663
163	0
0	59
101	0
0	6166
4373	0
0	2066
2	1056
0	39
0	3569
5	8950
0	7180
0	8050
22	1051
0	855
0	1150
0	3
98	11219
8	19524
1811	0
3269	0
827	0
36	135
4636	0
7	104
2217	195
307	1325
0	248
0	2
63	3852
730	0
1426	2647
332	747
0	7109
372	1562
0	2092
0	8
2756	45
547	5
0	12684
1	7152
2504	1549
0	193
9	25921
17	24416
0	36581
0	988
0	15160
0	11048
0	7
0	3
88	0
0	25
0	110
0	5526
0	1614
0	9701
0	21617
5075	4169
2	6357
3	102403
0	5721
1	4093
797	9
0	110
0	0
0	85502
0	2152
0	9766
1	5765
0	1449
0	85
0	3538
0	8034
0	2028
0	7968
12	18665
3	8305
821	0
0	705
0	0
0	7992
3	7
0	21
0	6365
10	740
0	2796
1390	0
0	0
14	2417
0	292
237	0
183	2156
0	21990
884	3039
0	308
0	301
0	531
4	7071
1	17420
0	396
0	1281
0	187
0	347
9	10910
0	157
0	4384
3	83924
1	18855
63	1423
0	4880
0	1355
0	423
3	7209
1552	11
0	5009
0	230
1	552
2	2
11	100
22	2
0	7622
0	11060
23	39113
1	73
7	2492
0	1730
1213	0
213	616
3	2245
0	22446
8	8329
197	275
0	349
0	8082
157	59
24	1
5	70
1	0
0	3386
0	38
1	3674
2	1297
0	40
5	13355
0	0
1	758
10	10388
1049	0
0	1423
0	131
0	1827
15	3432
0	0
0	1
87	15
0	6077
1	22432
37	10
0	20
4	1639
15	5968
484	2454
0	401
2	2065
0	209
43	138
3	11448
0	253
2	3720
0	6566
0	461
0	105
1	14
1	437
0	263
0	1795
0	3387
0	268
1	3326
1	0
2	0
0	3668
39	1
0	2313
0	38
0	4673
83	0
3	8
127	3901
33	3875
0	387
3	1243
0	1724
0	2725
2	1947
0	40
1	17799
1	386
1	0
32	29
0	4257
4	4866
1	0
1	3039
0	50
0	3587
0	0
0	4
7	2062
0	8
1038	0
0	8
0	0
0	0
0	4461
1	163
0	4845
5	3732
0	88523
0	16129
0	4535
0	161
0	187
8	14659
1	2943
0	185
1	3484
0	1731
0	10099
26	472
64	378
1	108
0	1157
1	6853
0	1425
0	1563
0	148
26	90002
0	9253
0	57324
0	921
0	4267
0	3689
3368	590
0	3
130	17
0	3822
0	5587
184	1138
0	14
0	60
0	11055
0	27773
0	7071
0	2284
0	544
0	356
30	8604
0	0
146	0
0	29274
2	12476
0	5585
0	1150
802	0
0	3606
0	134968
0	4367
0	1514
0	14984
0	6448
1	4960
0	1364
23	745
0	4647
0	1355
2	7410
354	0
0	6506
0	0
723	2991
80	221
0	0
0	11413
162	8
0	79664
0	874
34	381
0	82
0	1660
0	1228
0	0
0	1301
0	19123
0	104
0	507
1	1052
0	5705
342	0
0	2278
0	7585
0	2374
4	7793
11	1395
0	322
1	18722
1	72
0	715
0	104
1	6
0	2473
0	5343
99	0
23	5582
1	65556
13	109350
3	5
0	221
0	2130
184	0
0	7372
4	9698
0	559
0	451
0	578
0	303
0	24201
1	22101
0	4
337	3902
0	2801
0	42928
0	10686
3	76
0	629
0	87
2	11
614	0
3	3857
2	1923
0	7
1	8217
4	1
52	1507
3	4416
0	20317
6	4666
0	3
1	21
3	2962
1	965
5	1619
0	854
1	0
1	10064
1	2067
1	4870
7	4
2114	0
14	41400
3	1426
0	1775
3171	6
140	959
0	142
3528	0
0	0
0	648
0	1641
5852	100672
1	11952
59	4403
0	12580
120	179
2473	9428
0	7261
23	2511
0	130
0	6862
0	6049
0	2
4184	1690
0	9790
5549	3081
13316	46528
3	2006
50	2594
925	50875
0	5809
0	0
234	582
5282	16352
2	423
4943	748
0	0
0	0
0	94
3	1826
5	2743
0	0
0	84696
0	159
0	0
0	529
0	2028
0	1146
0	54
0	93
1	268
0	1945
0	514
0	38
21	170427
0	13605
3078	0
2924	0
1	13888
1	4392
14	716
6	6248
0	395
1	486
2	2282
2	0
3640	0
0	8069
685	1910
0	2606
0	5825
1	105
0	0
2	20624
0	269
0	9596
239	228
35	347
1	12705
0	129
0	1287
0	2815
0	150
1	1
25	42969
0	4644
0	75
0	938
1	3552
3	7377
401	12
13	10441
2	3491
384	0
0	88
0	2160
0	237
12	33649
0	4050
0	607
14	19798
0	140
0	0
0	186
11	86465
0	0
4552	0
2175	0
22	3303
1	43460
3	6544
1128	73
518	0
678	2921
2940	0
0	1462
0	1029
0	0
6	32628
0	5779
0	297
0	3171
0	118
0	2357
0	308
0	0
0	1216
712	0
121	21087
1587	0
0	0
0	6856
2126	0
0	0
186	193
8	10649
0	3219
0	897
0	1615
0	8670
0	45
0	6564
0	0
0	6111
0	6847
0	147
1494	0
1	7729
0	95
0	20675
0	1302
0	3866
0	4563
0	1484
0	156
0	0
0	25
0	5722
0	8687
0	5785
50	6
6	44
0	252
112	2072
0	4
0	5808
0	24778
1	1203
553	0
3135	0
0	382
0	2789
142	720
7	8337
0	2544
0	4876
0	1150
0	635
0	403
58	15121
0	135
0	3409
0	8445
0	103
0	2058
1	1656
3	10088
401	2981
0	11361
0	38
170	18682
0	720
0	3476
0	1133
48	1777
9	21367
0	304
0	6601
0	3120
323	0
3	3056
2	96
0	1972
1	13591
0	78
0	102508
0	2539
3584	0
0	5012
0	960
808	0
0	907
0	37
0	1287
3104	0
548	1637
0	4398
0	15415
0	10
0	3438
0	2590
65	59
6	15881
4	18064
0	11011
0	0
3	858
0	51
0	39
0	267
0	1686
0	28984
7	0
0	8
1	93
7	506
1	18
27011	1619
2	989
0	1696
0	10
9	0
0	2103
12	17324
4	1
0	42
252	0
28	576
7	1393
